,Time / Date,Active Time/Date,Area,Description,Device
6543,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,[Sensor]Light grid activated  OK ,LP01
6546,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,Vacuum is not turned off  OK ,LP01
6547,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,Bellows are inflated  OK ,LP01
6548,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,Bellows are inflated  OK ,LP01
6549,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,[Sensor]Light grid activated Digital Alarm,LP01
6553,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,in manual from HMI panel  OK ,LP01
6555,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,Timeout - Deposit position not ready  OK ,LP01
6556,2023-09-02 오전 11:39,2023-09-02 오전 11:38,LP01,[Sensor]Light grid activated  OK ,LP01
6557,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,in manual from HMI panel Digital Alarm,LP01
6560,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6571,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,Vacuum is not turned off Digital Alarm,LP01
6572,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,Bellows are inflated Digital Alarm,LP01
6573,2023-09-02 오전 11:38,2023-09-02 오전 11:38,LP01,[Sensor]Light grid activated Digital Alarm,LP01
6576,2023-09-02 오전 11:38,2023-09-02 오전 11:37,LP01,[Robot]LG has been activated during move_Layer dropped  OK ,LP01
6577,2023-09-02 오전 11:38,2023-09-02 오전 11:37,LP01,[Robot]LG has been activated during move_Layer dropped  OK ,LP01
6579,2023-09-02 오전 11:38,2023-09-02 오전 11:38,LP01,in manual from HMI panel  OK ,LP01
6580,2023-09-02 오전 11:38,2023-09-02 오전 11:38,LP01,in manual from HMI panel  OK ,LP01
6581,2023-09-02 오전 11:38,2023-09-02 오전 11:38,LP01,Timeout - Deposit position not ready  OK ,LP01
6582,2023-09-02 오전 11:38,2023-09-02 오전 11:38,LP01,in manual from HMI panel Digital Alarm,LP01
6585,2023-09-02 오전 11:38,2023-09-02 오전 11:38,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6591,2023-09-02 오전 11:37,2023-09-02 오전 11:37,LP01,[Robot]LG has been activated during move_Layer dropped Digital Alarm,LP01
6592,2023-09-02 오전 11:37,2023-09-02 오전 11:37,LP01,LG has been activated during move with layer - layer dropped  OK ,LP01
6593,2023-09-02 오전 11:37,2023-09-02 오전 11:37,LP01,LG has been activated during move with layer - layer dropped Digital Alarm,LP01
6594,2023-09-02 오전 11:37,2023-09-02 오전 11:37,LP01,Timeout - Deposit position not ready  OK ,LP01
